Count,Label,CBG,GEOID
435,Count of Single Family Properties,11.002,4.21E+11
305,Count of Single Family Properties,11.003,4.21E+11
414,Count of Single Family Properties,12.001,4.21E+11
690,Count of Single Family Properties,12.002,4.21E+11
418,Count of Single Family Properties,12.003,4.21E+11
315,Count of Single Family Properties,12.004,4.21E+11
170,Count of Single Family Properties,14.001,4.21E+11
381,Count of Single Family Properties,14.002,4.21E+11
356,Count of Single Family Properties,14.003,4.21E+11
325,Count of Single Family Properties,14.004,4.21E+11
16,Count of Single Family Properties,118.052,4.21E+11
403,Count of Single Family Properties,147.001,4.21E+11
224,Count of Single Family Properties,147.002,4.21E+11
328,Count of Single Family Properties,147.003,4.21E+11
NA,Est. % Change in Comp Sales (1-Fam) 2007-17,1.001,4.21E+11
NA,Est. % Change in Comp Sales (1-Fam) 2007-17,1.002,4.21E+11
2.4,Est. % Change in Comp Sales (1-Fam) 2007-17,1.003,4.21E+11
0.1,Est. % Change in Comp Sales (1-Fam) 2007-17,2.001,4.21E+11
0.4,Est. % Change in Comp Sales (1-Fam) 2007-17,2.002,4.21E+11
0.2,Est. % Change in Comp Sales (1-Fam) 2007-17,3.001,4.21E+11
